config,rate,latency,throughput
bv_K16_express_greedy_L48,0.015,40.1789,0.015009
bv_K16_express_greedy_L48,0.02,498.103,0.0185047
bv_K16_express_greedy_L48,0.025,608.026,0.01745
bv_K16_adj_uniform_L72,0.001,26.5869,0.000995833
bv_K16_adj_uniform_L72,0.003,27.4053,0.00298854
bv_K16_adj_uniform_L72,0.005,28.8626,0.00501406
bv_K16_adj_uniform_L72,0.007,31.3084,0.00705
bv_K16_adj_uniform_L72,0.01,54.2971,0.0100344
bv_K16_adj_uniform_L72,0.015,846.07,0.0105578
bv_K16_adj_uniform_L72,0.02,1402.76,0.00973437
bv_K16_adj_uniform_L72,0.025,1737.51,0.00950469
bv_K16_adj_load_L72,0.001,26.7063,0.000995833
bv_K16_adj_load_L72,0.003,27.505,0.00298854
bv_K16_adj_load_L72,0.005,28.9661,0.00501406
bv_K16_adj_load_L72,0.007,31.4638,0.00705
bv_K16_adj_load_L72,0.01,54.4388,0.0100344
bv_K16_adj_load_L72,0.015,845.678,0.0103781
bv_K16_adj_load_L72,0.02,1453.48,0.00972187
bv_K16_adj_load_L72,0.025,1884.65,0.00914219
bv_K16_express_greedy_L72,0.001,24.6309,0.000995833
bv_K16_express_greedy_L72,0.003,25.3093,0.00298906
bv_K16_express_greedy_L72,0.005,26.0355,0.00501667
bv_K16_express_greedy_L72,0.007,27.058,0.00705104
bv_K16_express_greedy_L72,0.01,29.3708,0.0100344
bv_K16_express_greedy_L72,0.015,37.6055,0.0149818
bv_K16_express_greedy_L72,0.02,543.72,0.0185836
bv_K16_express_greedy_L72,0.025,688.887,0.0200266
bv_K16_adj_uniform_L96,0.001,26.5869,0.000995833
bv_K16_adj_uniform_L96,0.003,27.4053,0.00298854
bv_K16_adj_uniform_L96,0.005,28.8626,0.00501406
bv_K16_adj_uniform_L96,0.007,31.3084,0.00705
bv_K16_adj_uniform_L96,0.01,54.2971,0.0100344
bv_K16_adj_uniform_L96,0.015,846.07,0.0105578
bv_K16_adj_uniform_L96,0.02,1402.76,0.00973437
bv_K16_adj_uniform_L96,0.025,1737.51,0.00950469
bv_K16_adj_load_L96,0.001,26.5921,0.000995833
bv_K16_adj_load_L96,0.003,27.407,0.00298854
bv_K16_adj_load_L96,0.005,28.85,0.00501406
bv_K16_adj_load_L96,0.007,31.3009,0.00705
bv_K16_adj_load_L96,0.01,54.2968,0.0100344
bv_K16_adj_load_L96,0.015,805.732,0.0105188
bv_K16_adj_load_L96,0.02,1495.06,0.00936563
bv_K16_adj_load_L96,0.025,1817.93,0.00905625
bv_K16_express_greedy_L96,0.001,24.5188,0.000995833
bv_K16_express_greedy_L96,0.003,25.2206,0.00298906
bv_K16_express_greedy_L96,0.005,25.934,0.00501615
bv_K16_express_greedy_L96,0.007,26.9873,0.00705104
bv_K16_express_greedy_L96,0.01,29.3013,0.0100344
bv_K16_express_greedy_L96,0.015,37.5617,0.0149802
bv_K16_express_greedy_L96,0.02,260.694,0.0185953
bv_K16_express_greedy_L96,0.025,761.071,0.0196703
bv_K8big_adj_uniform_L20,0.001,23.8409,0.00102604
bv_K8big_adj_uniform_L20,0.003,24.4188,0.0030125
bv_K8big_adj_uniform_L20,0.005,24.986,0.00497292
bv_K8big_adj_uniform_L20,0.007,25.8228,0.00697812
bv_K8big_adj_uniform_L20,0.01,27.2458,0.0100427
bv_K8big_adj_uniform_L20,0.015,31.8769,0.0149885
bv_K8big_adj_uniform_L20,0.02,62.5753,0.0200138
bv_K8big_adj_uniform_L20,0.025,357.626,0.022875
bv_K8big_adj_load_L20,0.001,24.234,0.00102604
bv_K8big_adj_load_L20,0.003,24.7471,0.0030125
bv_K8big_adj_load_L20,0.005,25.3559,0.00497292
bv_K8big_adj_load_L20,0.007,26.1823,0.00697812
bv_K8big_adj_load_L20,0.01,27.6686,0.0100427
bv_K8big_adj_load_L20,0.015,32.427,0.0149885
bv_K8big_adj_load_L20,0.02,58.1391,0.019985
bv_K8big_adj_load_L20,0.025,639.831,0.0223703
bv_K8big_express_greedy_L20,0.001,23.0304,0.00102604
bv_K8big_express_greedy_L20,0.003,23.5843,0.0030125
bv_K8big_express_greedy_L20,0.005,24.2778,0.00497396
bv_K8big_express_greedy_L20,0.007,25.3061,0.00697917
bv_K8big_express_greedy_L20,0.01,27.3883,0.0100396
bv_K8big_express_greedy_L20,0.015,36.28,0.0148837
bv_K8big_express_greedy_L20,0.02,266.262,0.0192375
bv_K8big_express_greedy_L20,0.025,571.116,0.0198688
bv_K8big_adj_uniform_L30,0.001,23.8409,0.00102604
bv_K8big_adj_uniform_L30,0.003,24.4188,0.0030125
bv_K8big_adj_uniform_L30,0.005,24.986,0.00497292
bv_K8big_adj_uniform_L30,0.007,25.8228,0.00697812
bv_K8big_adj_uniform_L30,0.01,27.2458,0.0100427
bv_K8big_adj_uniform_L30,0.015,31.8769,0.0149885
bv_K8big_adj_uniform_L30,0.02,62.5753,0.0200138
bv_K8big_adj_uniform_L30,0.025,357.626,0.022875
bv_K8big_adj_load_L30,0.001,24.234,0.00102604
bv_K8big_adj_load_L30,0.003,24.7471,0.0030125
bv_K8big_adj_load_L30,0.005,25.3559,0.00497292
bv_K8big_adj_load_L30,0.007,26.1823,0.00697812
bv_K8big_adj_load_L30,0.01,27.6686,0.0100427
bv_K8big_adj_load_L30,0.015,32.427,0.0149885
bv_K8big_adj_load_L30,0.02,58.1391,0.019985
bv_K8big_adj_load_L30,0.025,639.831,0.0223703
